DATE,UNRATE
2014-10-23,5.7709677419354835
2014-10-24,5.774193548387097
2014-10-25,5.77741935483871
2014-10-26,5.780645161290322
2014-10-27,5.783870967741936
2014-10-28,5.787096774193548
2014-10-29,5.790322580645161
2014-10-30,5.793548387096774
2014-10-31,5.796774193548387
2014-11-01,5.8
2014-11-02,5.793333333333333
2014-11-03,5.786666666666666
2014-11-04,5.779999999999999
2014-11-05,5.773333333333333
2014-11-06,5.766666666666667
2014-11-07,5.76
2014-11-08,5.753333333333333
2014-11-09,5.746666666666666
2014-11-10,5.74
2014-11-11,5.733333333333333
2014-11-12,5.726666666666667
2014-11-13,5.72
2014-11-14,5.713333333333333
2014-11-15,5.706666666666666
2014-11-16,5.699999999999999
2014-11-17,5.693333333333333
2014-11-18,5.6866666666666665
2014-11-19,5.68
2014-11-20,5.673333333333333
2014-11-21,5.666666666666666
2014-11-22,5.66
2014-11-23,5.653333333333333
2014-11-24,5.6466666666666665
2014-11-25,5.64
2014-11-26,5.633333333333333
2014-11-27,5.626666666666666
2014-11-28,5.619999999999999
2014-11-29,5.613333333333333
2014-11-30,5.6066666666666665
2014-12-01,5.6
2014-12-02,5.603225806451612
2014-12-03,5.606451612903226
2014-12-04,5.609677419354838
2014-12-05,5.612903225806451
2014-12-06,5.616129032258065
2014-12-07,5.619354838709677
2014-12-08,5.62258064516129
2014-12-09,5.625806451612903
2014-12-10,5.629032258064516
2014-12-11,5.632258064516129
2014-12-12,5.635483870967742
2014-12-13,5.638709677419355
2014-12-14,5.641935483870967
2014-12-15,5.645161290322581
2014-12-16,5.648387096774194
2014-12-17,5.651612903225806
2014-12-18,5.654838709677419
2014-12-19,5.658064516129032
2014-12-20,5.661290322580645
2014-12-21,5.664516129032258
2014-12-22,5.667741935483871
2014-12-23,5.670967741935484
2014-12-24,5.674193548387096
2014-12-25,5.67741935483871
2014-12-26,5.680645161290323
2014-12-27,5.683870967741935
2014-12-28,5.687096774193549
2014-12-29,5.690322580645161
2014-12-30,5.693548387096774
2014-12-31,5.6967741935483875
2015-01-01,5.7
2015-01-02,5.693548387096774
2015-01-03,5.687096774193549
2015-01-04,5.680645161290323
2015-01-05,5.674193548387097
2015-01-06,5.667741935483871
2015-01-07,5.661290322580645
2015-01-08,5.65483870967742
2015-01-09,5.648387096774194
2015-01-10,5.641935483870967
2015-01-11,5.635483870967742
2015-01-12,5.629032258064516
2015-01-13,5.622580645161291
2015-01-14,5.616129032258065
2015-01-15,5.609677419354838
2015-01-16,5.603225806451613
2015-01-17,5.596774193548387
2015-01-18,5.590322580645162
2015-01-19,5.583870967741936
2015-01-20,5.577419354838709
2015-01-21,5.570967741935484
2015-01-22,5.564516129032258
2015-01-23,5.558064516129033
2015-01-24,5.551612903225807
2015-01-25,5.54516129032258
2015-01-26,5.538709677419355
2015-01-27,5.532258064516129
2015-01-28,5.525806451612903
2015-01-29,5.519354838709678
2015-01-30,5.512903225806451
2015-01-31,5.506451612903226
2015-02-01,5.5
2015-02-02,5.496428571428572
2015-02-03,5.492857142857143
2015-02-04,5.489285714285714
2015-02-05,5.485714285714286
2015-02-06,5.482142857142858
2015-02-07,5.478571428571429
2015-02-08,5.475
2015-02-09,5.4714285714285715
2015-02-10,5.467857142857143
2015-02-11,5.464285714285714
2015-02-12,5.460714285714285
2015-02-13,5.457142857142857
2015-02-14,5.453571428571429
2015-02-15,5.45
2015-02-16,5.446428571428571
2015-02-17,5.442857142857143
2015-02-18,5.439285714285715
2015-02-19,5.435714285714286
2015-02-20,5.432142857142857
2015-02-21,5.428571428571429
2015-02-22,5.425000000000001
2015-02-23,5.421428571428572
2015-02-24,5.417857142857143
