Date,MSPUS
2016-06-24,303969.23076923075
2016-06-25,303945.05494505493
2016-06-26,303920.8791208791
2016-06-27,303896.7032967033
2016-06-28,303872.52747252746
2016-06-29,303848.35164835164
2016-06-30,303824.1758241758
2016-07-01,303800.0
2016-07-02,303877.17391304346
2016-07-03,303954.347826087
2016-07-04,304031.52173913043
2016-07-05,304108.6956521739
2016-07-06,304185.8695652174
2016-07-07,304263.04347826086
2016-07-08,304340.2173913043
2016-07-09,304417.39130434784
2016-07-10,304494.5652173913
2016-07-11,304571.73913043475
2016-07-12,304648.9130434783
2016-07-13,304726.0869565217
2016-07-14,304803.26086956525
2016-07-15,304880.4347826087
2016-07-16,304957.60869565216
2016-07-17,305034.7826086957
2016-07-18,305111.95652173914
2016-07-19,305189.1304347826
2016-07-20,305266.3043478261
2016-07-21,305343.47826086957
2016-07-22,305420.652173913
2016-07-23,305497.82608695654
2016-07-24,305575.0
2016-07-25,305652.17391304346
2016-07-26,305729.347826087
2016-07-27,305806.52173913043
2016-07-28,305883.6956521739
2016-07-29,305960.8695652174
2016-07-30,306038.04347826086
2016-07-31,306115.2173913043
2016-08-01,306192.39130434784
2016-08-02,306269.5652173913
2016-08-03,306346.73913043475
2016-08-04,306423.9130434783
2016-08-05,306501.0869565217
2016-08-06,306578.26086956525
2016-08-07,306655.4347826087
2016-08-08,306732.60869565216
2016-08-09,306809.7826086957
2016-08-10,306886.95652173914
2016-08-11,306964.1304347826
2016-08-12,307041.3043478261
2016-08-13,307118.47826086957
2016-08-14,307195.652173913
2016-08-15,307272.82608695654
2016-08-16,307350.0
2016-08-17,307427.17391304346
2016-08-18,307504.347826087
2016-08-19,307581.52173913043
2016-08-20,307658.6956521739
2016-08-21,307735.8695652174
2016-08-22,307813.04347826086
2016-08-23,307890.2173913043
2016-08-24,307967.39130434784
2016-08-25,308044.5652173913
2016-08-26,308121.73913043475
2016-08-27,308198.9130434783
2016-08-28,308276.0869565217
2016-08-29,308353.26086956525
2016-08-30,308430.4347826087
2016-08-31,308507.60869565216
2016-09-01,308584.7826086957
2016-09-02,308661.95652173914
2016-09-03,308739.1304347826
2016-09-04,308816.3043478261
2016-09-05,308893.47826086957
2016-09-06,308970.652173913
2016-09-07,309047.82608695654
2016-09-08,309125.0
2016-09-09,309202.17391304346
2016-09-10,309279.347826087
2016-09-11,309356.52173913043
2016-09-12,309433.6956521739
2016-09-13,309510.8695652174
2016-09-14,309588.04347826086
2016-09-15,309665.2173913043
2016-09-16,309742.39130434784
2016-09-17,309819.5652173913
2016-09-18,309896.73913043475
2016-09-19,309973.9130434783
2016-09-20,310051.0869565217
2016-09-21,310128.26086956525
2016-09-22,310205.4347826087
2016-09-23,310282.60869565216
2016-09-24,310359.7826086957
2016-09-25,310436.95652173914
2016-09-26,310514.1304347826
2016-09-27,310591.3043478261
2016-09-28,310668.47826086957
2016-09-29,310745.652173913
2016-09-30,310822.82608695654
2016-10-01,310900.0
2016-10-02,310923.9130434783
2016-10-03,310947.82608695654
2016-10-04,310971.73913043475
2016-10-05,310995.652173913
2016-10-06,311019.5652173913
2016-10-07,311043.47826086957
2016-10-08,311067.39130434784
2016-10-09,311091.3043478261
2016-10-10,311115.2173913043
2016-10-11,311139.1304347826
2016-10-12,311163.04347826086
2016-10-13,311186.95652173914
2016-10-14,311210.8695652174
2016-10-15,311234.7826086957
2016-10-16,311258.6956521739
2016-10-17,311282.60869565216
2016-10-18,311306.52173913043
2016-10-19,311330.4347826087
2016-10-20,311354.347826087
2016-10-21,311378.26086956525
2016-10-22,311402.17391304346
2016-10-23,311426.0869565217
2016-10-24,311450.0
2016-10-25,311473.9130434783
2016-10-26,311497.82608695654
2016-10-27,311521.73913043475
2016-10-28,311545.652173913
2016-10-29,311569.5652173913
2016-10-30,311593.47826086957
2016-10-31,311617.39130434784
2016-11-01,311641.3043478261
2016-11-02,311665.2173913043
2016-11-03,311689.1304347826
2016-11-04,311713.04347826086
2016-11-05,311736.95652173914
2016-11-06,311760.8695652174
2016-11-07,311784.7826086957
2016-11-08,311808.6956521739
2016-11-09,311832.60869565216
2016-11-10,311856.52173913043
2016-11-11,311880.4347826087
2016-11-12,311904.347826087
2016-11-13,311928.26086956525
2016-11-14,311952.17391304346
2016-11-15,311976.0869565217
2016-11-16,312000.0
2016-11-17,312023.9130434783
2016-11-18,312047.82608695654
2016-11-19,312071.73913043475
2016-11-20,312095.652173913
2016-11-21,312119.5652173913
2016-11-22,312143.47826086957
2016-11-23,312167.39130434784
2016-11-24,312191.3043478261
2016-11-25,312215.2173913043
2016-11-26,312239.1304347826
2016-11-27,312263.04347826086
2016-11-28,312286.95652173914
2016-11-29,312310.8695652174
2016-11-30,312334.7826086957
2016-12-01,312358.6956521739
2016-12-02,312382.60869565216
2016-12-03,312406.52173913043
2016-12-04,312430.4347826087
2016-12-05,312454.347826087
2016-12-06,312478.26086956525
2016-12-07,312502.17391304346
2016-12-08,312526.0869565217
2016-12-09,312550.0
2016-12-10,312573.9130434783
2016-12-11,312597.82608695654
2016-12-12,312621.73913043475
2016-12-13,312645.652173913
2016-12-14,312669.5652173913
2016-12-15,312693.47826086957
2016-12-16,312717.39130434784
2016-12-17,312741.3043478261
2016-12-18,312765.2173913043
2016-12-19,312789.1304347826
2016-12-20,312813.04347826086
2016-12-21,312836.95652173914
2016-12-22,312860.8695652174
2016-12-23,312884.7826086957
2016-12-24,312908.6956521739
2016-12-25,312932.60869565216
2016-12-26,312956.52173913043
2016-12-27,312980.4347826087
2016-12-28,313004.347826087
2016-12-29,313028.26086956525
2016-12-30,313052.17391304346
2016-12-31,313076.0869565217
2017-01-01,313100.0
2017-01-02,313156.6666666667
2017-01-03,313213.3333333333
2017-01-04,313270.0
2017-01-05,313326.6666666667
2017-01-06,313383.3333333333
2017-01-07,313440.0
2017-01-08,313496.6666666667
2017-01-09,313553.3333333333
2017-01-10,313610.0
2017-01-11,313666.6666666667
2017-01-12,313723.3333333333
2017-01-13,313780.0
2017-01-14,313836.6666666667
2017-01-15,313893.3333333333
2017-01-16,313950.0
2017-01-17,314006.6666666667
2017-01-18,314063.3333333333
2017-01-19,314120.0
2017-01-20,314176.6666666667
2017-01-21,314233.3333333333
2017-01-22,314290.0
2017-01-23,314346.6666666667
2017-01-24,314403.3333333333
2017-01-25,314460.0
2017-01-26,314516.6666666667
2017-01-27,314573.3333333333
2017-01-28,314630.0
2017-01-29,314686.6666666667
2017-01-30,314743.3333333333
2017-01-31,314800.0
2017-02-01,314856.6666666667
