Date,Technical Analysis
2015-08-31,12.16
2015-09-01,17.68
2015-09-02,17.68
2015-09-03,26.52
2015-09-04,36.92
2015-09-05,22.880000000000003
2015-09-06,23.92
2015-09-07,0.0
2015-09-08,8.84
2015-09-09,25.48
2015-09-10,8.32
2015-09-11,17.68
2015-09-12,10.92
2015-09-13,33.28
2015-09-14,52.0
2015-09-15,25.48
2015-09-16,17.16
2015-09-17,17.16
2015-09-18,27.04
2015-09-19,11.440000000000001
2015-09-20,10.92
2015-09-21,25.48
2015-09-22,25.48
2015-09-23,34.84
2015-09-24,8.84
2015-09-25,8.84
2015-09-26,33.800000000000004
2015-09-27,10.92
2015-09-28,0.0
2015-09-29,24.96
2015-09-30,25.48
2015-10-01,14.249999999999998
2015-10-02,14.819999999999999
2015-10-03,0.0
2015-10-04,18.24
2015-10-05,28.499999999999996
2015-10-06,56.99999999999999
2015-10-07,35.339999999999996
2015-10-08,6.84
2015-10-09,14.819999999999999
2015-10-10,18.81
2015-10-11,0.0
2015-10-12,22.229999999999997
2015-10-13,21.09
2015-10-14,35.339999999999996
2015-10-15,42.74999999999999
2015-10-16,7.409999999999999
2015-10-17,9.12
2015-10-18,27.36
2015-10-19,6.84
2015-10-20,20.52
2015-10-21,13.68
2015-10-22,21.09
2015-10-23,35.91
2015-10-24,9.12
2015-10-25,17.669999999999998
2015-10-26,34.199999999999996
2015-10-27,6.84
2015-10-28,20.52
2015-10-29,6.84
2015-10-30,7.409999999999999
2015-10-31,0.0
2015-11-01,24.91
2015-11-02,17.86
2015-11-03,40.419999999999995
2015-11-04,18.33
2015-11-05,36.66
2015-11-06,18.799999999999997
2015-11-07,23.5
2015-11-08,47.0
2015-11-09,13.629999999999999
2015-11-10,17.86
2015-11-11,23.97
2015-11-12,32.9
2015-11-13,19.27
2015-11-14,23.5
2015-11-15,0.0
2015-11-16,23.029999999999998
2015-11-17,26.79
2015-11-18,13.629999999999999
2015-11-19,31.959999999999997
2015-11-20,28.2
2015-11-21,11.75
2015-11-22,0.0
2015-11-23,18.799999999999997
2015-11-24,42.769999999999996
2015-11-25,20.68
2015-11-26,12.219999999999999
2015-11-27,0.0
2015-11-28,17.39
2015-11-29,11.75
2015-11-30,30.549999999999997
2015-12-01,19.76
2015-12-02,34.84
2015-12-03,40.04
2015-12-04,20.8
2015-12-05,39.52
2015-12-06,19.76
2015-12-07,24.96
2015-12-08,24.96
2015-12-09,39.52
2015-12-10,24.96
2015-12-11,36.4
2015-12-12,13.52
2015-12-13,13.0
2015-12-14,30.16
2015-12-15,46.28
2015-12-16,52.0
2015-12-17,10.92
2015-12-18,33.800000000000004
2015-12-19,14.040000000000001
2015-12-20,14.040000000000001
2015-12-21,17.16
2015-12-22,22.880000000000003
2015-12-23,30.16
2015-12-24,27.04
2015-12-25,0.0
2015-12-26,21.32
2015-12-27,13.52
2015-12-28,40.56
2015-12-29,22.880000000000003
2015-12-30,23.400000000000002
2015-12-31,12.48
2016-01-01,12.25
2016-01-02,10.78
2016-01-03,31.36
2016-01-04,31.36
2016-01-05,18.13
2016-01-06,40.67
2016-01-07,49.0
2016-01-08,22.54
2016-01-09,21.07
2016-01-10,28.91
2016-01-11,21.56
2016-01-12,39.69
2016-01-13,22.05
2016-01-14,37.73
2016-01-15,18.13
2016-01-16,26.46
2016-01-17,15.19
2016-01-18,18.62
2016-01-19,21.56
2016-01-20,22.05
2016-01-21,30.87
2016-01-22,18.13
2016-01-23,25.97
2016-01-24,20.58
2016-01-25,34.79
2016-01-26,34.79
2016-01-27,17.64
2016-01-28,22.05
2016-01-29,27.439999999999998
2016-01-30,26.95
2016-01-31,25.97
2016-02-01,23.939999999999998
2016-02-02,28.499999999999996
2016-02-03,9.69
2016-02-04,38.76
2016-02-05,14.819999999999999
2016-02-06,17.099999999999998
2016-02-07,34.199999999999996
2016-02-08,23.369999999999997
2016-02-09,33.059999999999995
2016-02-10,28.499999999999996
2016-02-11,29.069999999999997
2016-02-12,30.209999999999997
2016-02-13,51.3
2016-02-14,34.199999999999996
2016-02-15,14.819999999999999
2016-02-16,32.489999999999995
2016-02-17,53.01
2016-02-18,56.99999999999999
2016-02-19,39.33
2016-02-20,23.369999999999997
2016-02-21,22.799999999999997
2016-02-22,37.62
2016-02-23,37.62
2016-02-24,27.929999999999996
2016-02-25,47.879999999999995
2016-02-26,14.819999999999999
2016-02-27,11.399999999999999
2016-02-28,28.499999999999996
2016-02-29,27.36
2016-03-01,23.009999999999998
2016-03-02,34.809999999999995
2016-03-03,59.0
2016-03-04,35.989999999999995
2016-03-05,49.559999999999995
2016-03-06,28.32
2016-03-07,59.0
2016-03-08,35.4
2016-03-09,35.4
2016-03-10,30.09
2016-03-11,43.07
2016-03-12,35.989999999999995
2016-03-13,42.48
2016-03-14,47.199999999999996
2016-03-15,23.599999999999998
2016-03-16,17.7
2016-03-17,30.09
2016-03-18,25.369999999999997
2016-03-19,43.07
2016-03-20,28.91
2016-03-21,30.09
2016-03-22,24.189999999999998
2016-03-23,42.48
2016-03-24,49.559999999999995
2016-03-25,39.53
2016-03-26,29.5
2016-03-27,46.019999999999996
2016-03-28,36.58
2016-03-29,30.09
2016-03-30,48.379999999999995
2016-03-31,18.29
2016-04-01,13.780000000000001
2016-04-02,15.9
2016-04-03,39.75
2016-04-04,32.86
2016-04-05,25.970000000000002
2016-04-06,25.970000000000002
2016-04-07,13.25
2016-04-08,6.890000000000001
2016-04-09,31.8
2016-04-10,15.9
2016-04-11,26.5
2016-04-12,45.580000000000005
2016-04-13,26.5
2016-04-14,20.14
2016-04-15,27.560000000000002
2016-04-16,16.43
2016-04-17,16.43
2016-04-18,13.25
2016-04-19,32.86
2016-04-20,6.36
2016-04-21,19.61
2016-04-22,53.0
2016-04-23,7.95
2016-04-24,7.95
2016-04-25,6.36
