Date,ASPUS
2014-05-09,340516.4835164835
2014-05-10,340514.28571428574
2014-05-11,340512.0879120879
2014-05-12,340509.8901098901
2014-05-13,340507.6923076923
2014-05-14,340505.4945054945
2014-05-15,340503.2967032967
2014-05-16,340501.0989010989
2014-05-17,340498.9010989011
2014-05-18,340496.7032967033
2014-05-19,340494.5054945055
2014-05-20,340492.3076923077
2014-05-21,340490.1098901099
2014-05-22,340487.9120879121
2014-05-23,340485.71428571426
2014-05-24,340483.5164835165
2014-05-25,340481.31868131866
2014-05-26,340479.1208791209
2014-05-27,340476.92307692306
2014-05-28,340474.7252747253
2014-05-29,340472.52747252746
2014-05-30,340470.3296703297
2014-05-31,340468.13186813187
2014-06-01,340465.93406593404
2014-06-02,340463.73626373627
2014-06-03,340461.53846153844
2014-06-04,340459.34065934067
2014-06-05,340457.14285714284
2014-06-06,340454.94505494507
2014-06-07,340452.74725274724
2014-06-08,340450.5494505495
2014-06-09,340448.35164835164
2014-06-10,340446.1538461539
2014-06-11,340443.95604395604
2014-06-12,340441.7582417582
2014-06-13,340439.56043956045
2014-06-14,340437.3626373626
2014-06-15,340435.16483516485
2014-06-16,340432.967032967
2014-06-17,340430.76923076925
2014-06-18,340428.5714285714
2014-06-19,340426.37362637365
2014-06-20,340424.1758241758
2014-06-21,340421.978021978
2014-06-22,340419.7802197802
2014-06-23,340417.5824175824
2014-06-24,340415.3846153846
2014-06-25,340413.1868131868
2014-06-26,340410.989010989
2014-06-27,340408.7912087912
2014-06-28,340406.5934065934
2014-06-29,340404.3956043956
2014-06-30,340402.1978021978
2014-07-01,340400.0
2014-07-02,340715.2173913043
2014-07-03,341030.4347826087
2014-07-04,341345.652173913
2014-07-05,341660.8695652174
2014-07-06,341976.0869565217
2014-07-07,342291.3043478261
2014-07-08,342606.52173913043
2014-07-09,342921.73913043475
2014-07-10,343236.95652173914
2014-07-11,343552.17391304346
2014-07-12,343867.39130434784
2014-07-13,344182.60869565216
2014-07-14,344497.82608695654
2014-07-15,344813.04347826086
2014-07-16,345128.26086956525
2014-07-17,345443.47826086957
2014-07-18,345758.6956521739
2014-07-19,346073.9130434783
2014-07-20,346389.1304347826
2014-07-21,346704.347826087
2014-07-22,347019.5652173913
2014-07-23,347334.7826086957
2014-07-24,347650.0
2014-07-25,347965.2173913043
2014-07-26,348280.4347826087
2014-07-27,348595.652173913
2014-07-28,348910.8695652174
2014-07-29,349226.0869565217
2014-07-30,349541.3043478261
2014-07-31,349856.52173913043
2014-08-01,350171.73913043475
2014-08-02,350486.95652173914
2014-08-03,350802.17391304346
2014-08-04,351117.39130434784
2014-08-05,351432.60869565216
2014-08-06,351747.82608695654
2014-08-07,352063.04347826086
2014-08-08,352378.2608695652
2014-08-09,352693.47826086957
2014-08-10,353008.6956521739
2014-08-11,353323.9130434783
2014-08-12,353639.1304347826
2014-08-13,353954.347826087
2014-08-14,354269.5652173913
2014-08-15,354584.7826086957
2014-08-16,354900.0
2014-08-17,355215.2173913043
2014-08-18,355530.4347826087
2014-08-19,355845.652173913
2014-08-20,356160.8695652174
2014-08-21,356476.0869565217
2014-08-22,356791.3043478261
2014-08-23,357106.52173913043
2014-08-24,357421.73913043475
2014-08-25,357736.95652173914
2014-08-26,358052.17391304346
2014-08-27,358367.39130434784
2014-08-28,358682.60869565216
2014-08-29,358997.82608695654
2014-08-30,359313.04347826086
2014-08-31,359628.2608695652
2014-09-01,359943.47826086957
2014-09-02,360258.6956521739
2014-09-03,360573.9130434783
2014-09-04,360889.1304347826
2014-09-05,361204.347826087
2014-09-06,361519.5652173913
2014-09-07,361834.7826086957
