Date,Movies
2015-09-05,68.25
2015-09-06,75.0
2015-09-07,69.75
2015-09-08,36.0
2015-09-09,32.25
2015-09-10,33.0
2015-09-11,42.0
2015-09-12,72.75
2015-09-13,66.0
2015-09-14,36.0
2015-09-15,30.75
2015-09-16,31.5
2015-09-17,30.75
2015-09-18,40.5
2015-09-19,66.75
2015-09-20,60.0
2015-09-21,33.0
2015-09-22,32.25
2015-09-23,33.0
2015-09-24,32.25
2015-09-25,42.0
2015-09-26,66.0
2015-09-27,60.75
2015-09-28,33.0
2015-09-29,31.5
2015-09-30,31.5
2015-10-01,34.5
2015-10-02,47.25
2015-10-03,75.0
2015-10-04,66.75
2015-10-05,36.75
2015-10-06,34.5
2015-10-07,33.75
2015-10-08,33.75
2015-10-09,45.0
2015-10-10,68.25
2015-10-11,64.5
2015-10-12,40.5
2015-10-13,33.75
2015-10-14,33.75
2015-10-15,36.75
2015-10-16,46.5
2015-10-17,69.75
2015-10-18,66.0
2015-10-19,39.0
2015-10-20,38.25
2015-10-21,36.0
2015-10-22,37.5
2015-10-23,45.75
2015-10-24,72.0
2015-10-25,68.25
2015-10-26,39.75
2015-10-27,36.0
2015-10-28,35.25
2015-10-29,36.0
2015-10-30,48.75
2015-10-31,74.25
2015-11-01,73.71000000000001
2015-11-02,38.07
2015-11-03,34.02
2015-11-04,34.830000000000005
2015-11-05,34.02
2015-11-06,45.36
2015-11-07,73.71000000000001
2015-11-08,68.85000000000001
2015-11-09,38.88
2015-11-10,36.45
2015-11-11,41.31
2015-11-12,37.260000000000005
2015-11-13,44.550000000000004
2015-11-14,65.61
2015-11-15,62.370000000000005
2015-11-16,36.45
2015-11-17,34.830000000000005
2015-11-18,34.830000000000005
2015-11-19,36.45
2015-11-20,46.17
2015-11-21,71.28
2015-11-22,69.66000000000001
2015-11-23,42.93
2015-11-24,42.120000000000005
2015-11-25,51.03
2015-11-26,63.99
2015-11-27,72.9
2015-11-28,81.0
2015-11-29,72.9
2015-11-30,38.07
2015-12-01,31.62
2015-12-02,31.62
2015-12-03,31.62
2015-12-04,35.34
2015-12-05,55.800000000000004
2015-12-06,55.800000000000004
2015-12-07,32.550000000000004
2015-12-08,31.62
2015-12-09,31.62
2015-12-10,33.480000000000004
2015-12-11,38.13
2015-12-12,57.660000000000004
2015-12-13,58.59
2015-12-14,38.13
2015-12-15,36.27
2015-12-16,37.2
2015-12-17,39.06
2015-12-18,52.080000000000005
2015-12-19,70.68
2015-12-20,69.75
2015-12-21,54.870000000000005
2015-12-22,51.150000000000006
2015-12-23,53.010000000000005
2015-12-24,61.38
2015-12-25,85.56
2015-12-26,93.0
2015-12-27,82.77000000000001
2015-12-28,64.17
2015-12-29,61.38
2015-12-30,57.660000000000004
2015-12-31,59.52
2016-01-01,87.4
2016-01-02,92.0
2016-01-03,75.44
2016-01-04,46.92
2016-01-05,41.4
2016-01-06,38.64
2016-01-07,39.56
2016-01-08,47.84
2016-01-09,72.68
2016-01-10,65.32000000000001
2016-01-11,46.0
2016-01-12,37.72
2016-01-13,35.88
2016-01-14,38.64
2016-01-15,49.68
2016-01-16,75.44
2016-01-17,77.28
2016-01-18,63.480000000000004
2016-01-19,40.480000000000004
2016-01-20,36.800000000000004
2016-01-21,35.88
2016-01-22,46.0
2016-01-23,74.52000000000001
2016-01-24,69.92
2016-01-25,40.480000000000004
2016-01-26,35.88
2016-01-27,34.96
2016-01-28,34.04
2016-01-29,41.4
2016-01-30,69.0
2016-01-31,69.92
2016-02-01,33.44
2016-02-02,28.88
2016-02-03,28.88
2016-02-04,30.4
2016-02-05,36.480000000000004
2016-02-06,59.28
2016-02-07,52.44
2016-02-08,31.92
2016-02-09,30.4
2016-02-10,29.64
2016-02-11,30.4
2016-02-12,41.04
2016-02-13,66.12
2016-02-14,76.0
2016-02-15,53.2
2016-02-16,33.44
2016-02-17,31.16
2016-02-18,30.4
2016-02-19,37.24
2016-02-20,60.04
2016-02-21,59.28
2016-02-22,33.44
2016-02-23,28.88
2016-02-24,28.12
2016-02-25,29.64
2016-02-26,36.480000000000004
2016-02-27,57.76
2016-02-28,59.28
2016-02-29,38.0
