Date,Return on Equity
2019-01-14,4.68
2019-01-15,9.0
2019-01-16,0.0
2019-01-17,18.0
2019-01-18,4.68
2019-01-19,5.3999999999999995
2019-01-20,5.04
2019-01-21,0.0
2019-01-22,27.36
2019-01-23,9.0
2019-01-24,36.0
2019-01-25,14.04
2019-01-26,5.3999999999999995
2019-01-27,32.4
2019-01-28,9.0
2019-01-29,4.32
2019-01-30,31.32
2019-01-31,9.36
2019-02-01,6.4
2019-02-02,16.0
2019-02-03,39.04
2019-02-04,32.0
2019-02-05,45.44
2019-02-06,26.240000000000002
2019-02-07,19.2
2019-02-08,53.76
2019-02-09,16.0
2019-02-10,7.68
2019-02-11,32.0
2019-02-12,26.240000000000002
2019-02-13,39.68
2019-02-14,26.88
2019-02-15,7.04
2019-02-16,16.0
2019-02-17,31.36
2019-02-18,41.6
2019-02-19,39.68
2019-02-20,26.88
2019-02-21,6.4
2019-02-22,13.44
2019-02-23,30.72
2019-02-24,16.0
2019-02-25,38.4
2019-02-26,19.84
2019-02-27,64.0
2019-02-28,52.480000000000004
2019-03-01,23.400000000000002
2019-03-02,23.400000000000002
2019-03-03,50.440000000000005
2019-03-04,39.52
2019-03-05,35.36
2019-03-06,34.84
2019-03-07,47.32
2019-03-08,28.6
2019-03-09,9.88
2019-03-10,19.240000000000002
2019-03-11,32.24
2019-03-12,35.88
2019-03-13,31.720000000000002
2019-03-14,16.12
2019-03-15,8.32
2019-03-16,38.480000000000004
2019-03-17,19.76
2019-03-18,24.96
2019-03-19,52.0
2019-03-20,24.44
2019-03-21,24.44
2019-03-22,16.64
2019-03-23,38.480000000000004
2019-03-24,22.36
2019-03-25,32.76
2019-03-26,36.92
2019-03-27,24.96
2019-03-28,28.6
2019-03-29,24.96
2019-03-30,9.88
2019-03-31,28.6
2019-04-01,46.86
2019-04-02,18.46
2019-04-03,15.62
2019-04-04,22.009999999999998
2019-04-05,22.72
2019-04-06,38.339999999999996
2019-04-07,22.72
2019-04-08,22.009999999999998
2019-04-09,36.92
2019-04-10,15.62
2019-04-11,31.24
2019-04-12,35.5
2019-04-13,34.79
2019-04-14,37.629999999999995
2019-04-15,34.79
2019-04-16,51.12
2019-04-17,29.11
2019-04-18,71.0
2019-04-19,27.689999999999998
2019-04-20,31.24
2019-04-21,20.59
2019-04-22,53.25
2019-04-23,41.89
2019-04-24,31.95
2019-04-25,28.4
2019-04-26,15.62
2019-04-27,38.339999999999996
2019-04-28,26.979999999999997
2019-04-29,46.86
2019-04-30,30.529999999999998
2019-05-01,46.0
2019-05-02,20.7
2019-05-03,19.32
2019-05-04,19.32
2019-05-05,17.02
2019-05-06,18.400000000000002
2019-05-07,18.400000000000002
2019-05-08,13.8
2019-05-09,25.3
2019-05-10,19.32
2019-05-11,11.5
2019-05-12,11.5
2019-05-13,23.92
2019-05-14,11.96
2019-05-15,14.26
2019-05-16,16.560000000000002
2019-05-17,5.0600000000000005
2019-05-18,17.48
2019-05-19,11.5
2019-05-20,7.36
2019-05-21,4.6000000000000005
2019-05-22,4.6000000000000005
2019-05-23,21.62
2019-05-24,7.36
2019-05-25,17.94
2019-05-26,15.180000000000001
2019-05-27,8.280000000000001
2019-05-28,6.9
2019-05-29,23.46
2019-05-30,21.16
2019-05-31,14.72
2019-06-01,0.0
2019-06-02,16.38
2019-06-03,24.57
2019-06-04,35.49
2019-06-05,24.57
2019-06-06,17.94
2019-06-07,36.27
2019-06-08,12.870000000000001
2019-06-09,8.19
2019-06-10,35.1
2019-06-11,7.0200000000000005
2019-06-12,29.25
2019-06-13,14.040000000000001
2019-06-14,14.43
2019-06-15,20.67
2019-06-16,25.35
2019-06-17,10.92
2019-06-18,24.96
2019-06-19,28.080000000000002
2019-06-20,21.45
2019-06-21,25.740000000000002
2019-06-22,17.16
2019-06-23,39.0
2019-06-24,32.76
2019-06-25,21.84
2019-06-26,21.45
2019-06-27,35.88
2019-06-28,11.31
2019-06-29,25.740000000000002
2019-06-30,21.45
2019-07-01,31.68
2019-07-02,12.48
2019-07-03,16.0
2019-07-04,7.04
2019-07-05,14.4
2019-07-06,7.04
2019-07-07,14.08
2019-07-08,18.56
2019-07-09,22.080000000000002
2019-07-10,9.28
2019-07-11,18.56
2019-07-12,19.52
2019-07-13,18.240000000000002
2019-07-14,18.56
2019-07-15,6.4
2019-07-16,18.56
2019-07-17,21.76
2019-07-18,12.8
2019-07-19,13.120000000000001
2019-07-20,7.36
2019-07-21,14.72
2019-07-22,16.0
2019-07-23,18.88
2019-07-24,22.72
2019-07-25,13.120000000000001
2019-07-26,13.76
2019-07-27,7.68
