Date,Market Timing
2015-06-12,0.0
2015-06-13,26.5
2015-06-14,0.0
2015-06-15,20.0
2015-06-16,20.0
2015-06-17,50.0
2015-06-18,20.0
2015-06-19,21.0
2015-06-20,25.5
2015-06-21,26.0
2015-06-22,0.0
2015-06-23,39.5
2015-06-24,0.0
2015-06-25,20.5
2015-06-26,0.0
2015-06-27,25.0
2015-06-28,0.0
2015-06-29,0.0
2015-06-30,0.0
2015-07-01,28.05
2015-07-02,19.25
2015-07-03,0.0
2015-07-04,0.0
2015-07-05,51.7
2015-07-06,0.0
2015-07-07,0.0
2015-07-08,18.150000000000002
2015-07-09,18.700000000000003
2015-07-10,19.25
2015-07-11,23.650000000000002
2015-07-12,0.0
2015-07-13,55.00000000000001
2015-07-14,18.150000000000002
2015-07-15,18.150000000000002
2015-07-16,0.0
2015-07-17,19.25
2015-07-18,48.95
2015-07-19,50.6
2015-07-20,19.25
2015-07-21,0.0
2015-07-22,0.0
2015-07-23,0.0
2015-07-24,0.0
2015-07-25,23.650000000000002
2015-07-26,0.0
2015-07-27,18.150000000000002
2015-07-28,0.0
2015-07-29,18.700000000000003
2015-07-30,0.0
2015-07-31,0.0
2015-08-01,21.0
2015-08-02,21.0
2015-08-03,16.5
2015-08-04,32.0
2015-08-05,0.0
2015-08-06,16.5
2015-08-07,17.0
2015-08-08,20.5
2015-08-09,21.0
2015-08-10,0.0
2015-08-11,0.0
2015-08-12,0.0
2015-08-13,16.5
2015-08-14,17.0
2015-08-15,20.5
2015-08-16,21.0
2015-08-17,32.5
2015-08-18,16.0
2015-08-19,0.0
2015-08-20,32.5
2015-08-21,50.0
2015-08-22,0.0
2015-08-23,0.0
2015-08-24,16.0
2015-08-25,48.0
2015-08-26,31.5
2015-08-27,16.0
2015-08-28,24.5
2015-08-29,0.0
2015-08-30,20.0
2015-08-31,0.0
2015-09-01,43.199999999999996
2015-09-02,58.32
2015-09-03,0.0
2015-09-04,45.36
2015-09-05,37.44
2015-09-06,38.879999999999995
2015-09-07,54.0
2015-09-08,28.799999999999997
2015-09-09,28.08
2015-09-10,28.08
2015-09-11,43.92
