Date,Gross Domestic Product
2015-09-15,55.61000000000001
2015-09-16,34.17
2015-09-17,34.84
2015-09-18,36.18
2015-09-19,13.4
2015-09-20,13.4
2015-09-21,34.17
2015-09-22,24.12
2015-09-23,34.84
2015-09-24,34.84
2015-09-25,21.44
2015-09-26,9.38
2015-09-27,22.110000000000003
2015-09-28,60.970000000000006
2015-09-29,67.0
2015-09-30,40.870000000000005
2015-10-01,17.939999999999998
2015-10-02,42.089999999999996
2015-10-03,35.879999999999995
2015-10-04,23.459999999999997
2015-10-05,69.0
2015-10-06,41.4
2015-10-07,36.57
2015-10-08,41.4
2015-10-09,38.64
2015-10-10,12.419999999999998
2015-10-11,24.15
2015-10-12,61.41
2015-10-13,45.54
2015-10-14,49.67999999999999
2015-10-15,59.339999999999996
2015-10-16,60.72
2015-10-17,24.15
2015-10-18,23.459999999999997
2015-10-19,68.30999999999999
2015-10-20,57.269999999999996
2015-10-21,48.989999999999995
2015-10-22,54.51
2015-10-23,42.089999999999996
2015-10-24,23.459999999999997
2015-10-25,34.5
2015-10-26,57.959999999999994
2015-10-27,48.3
2015-10-28,66.24
2015-10-29,48.989999999999995
2015-10-30,23.459999999999997
2015-10-31,0.0
2015-11-01,38.35
2015-11-02,48.97
2015-11-03,41.3
2015-11-04,48.97
2015-11-05,46.019999999999996
2015-11-06,32.449999999999996
2015-11-07,9.44
2015-11-08,13.569999999999999
2015-11-09,24.779999999999998
2015-11-10,59.0
2015-11-11,25.959999999999997
2015-11-12,35.989999999999995
2015-11-13,14.75
2015-11-14,18.29
2015-11-15,18.29
2015-11-16,35.4
2015-11-17,41.89
2015-11-18,38.94
2015-11-19,35.4
2015-11-20,21.83
2015-11-21,18.29
2015-11-22,8.85
2015-11-23,32.449999999999996
2015-11-24,11.209999999999999
2015-11-25,11.799999999999999
2015-11-26,0.0
2015-11-27,8.85
2015-11-28,8.85
2015-11-29,8.85
2015-11-30,27.139999999999997
2015-12-01,29.759999999999998
2015-12-02,25.919999999999998
2015-12-03,30.72
2015-12-04,22.56
2015-12-05,11.52
2015-12-06,11.52
2015-12-07,17.28
2015-12-08,38.879999999999995
2015-12-09,12.959999999999999
2015-12-10,48.0
2015-12-11,26.88
2015-12-12,11.52
2015-12-13,0.0
2015-12-14,8.64
2015-12-15,35.519999999999996
2015-12-16,32.16
2015-12-17,18.72
2015-12-18,10.08
2015-12-19,6.24
2015-12-20,6.24
2015-12-21,10.08
2015-12-22,4.8
2015-12-23,10.559999999999999
2015-12-24,5.76
2015-12-25,0.0
2015-12-26,0.0
2015-12-27,0.0
2015-12-28,10.08
2015-12-29,0.0
2015-12-30,0.0
2015-12-31,0.0
2016-01-01,0.0
2016-01-02,0.0
2016-01-03,6.63
2016-01-04,8.67
2016-01-05,23.46
2016-01-06,23.46
2016-01-07,26.01
2016-01-08,29.580000000000002
2016-01-09,20.4
2016-01-10,12.75
2016-01-11,28.05
2016-01-12,28.560000000000002
2016-01-13,31.62
2016-01-14,24.48
2016-01-15,14.790000000000001
2016-01-16,16.830000000000002
2016-01-17,16.830000000000002
2016-01-18,15.3
2016-01-19,16.830000000000002
2016-01-20,37.230000000000004
2016-01-21,45.9
2016-01-22,32.13
2016-01-23,10.2
2016-01-24,30.09
2016-01-25,51.0
2016-01-26,39.78
2016-01-27,28.560000000000002
2016-01-28,22.95
2016-01-29,14.790000000000001
2016-01-30,13.77
2016-01-31,16.830000000000002
2016-02-01,54.9
2016-02-02,57.949999999999996
2016-02-03,42.089999999999996
2016-02-04,35.38
2016-02-05,39.65
2016-02-06,12.81
2016-02-07,20.74
2016-02-08,33.55
2016-02-09,51.85
2016-02-10,48.19
2016-02-11,38.43
2016-02-12,40.26
2016-02-13,28.669999999999998
2016-02-14,20.74
2016-02-15,35.99
2016-02-16,34.16
2016-02-17,56.12
2016-02-18,41.48
2016-02-19,39.04
2016-02-20,8.54
2016-02-21,45.14
2016-02-22,30.5
2016-02-23,40.87
2016-02-24,37.21
2016-02-25,27.45
2016-02-26,61.0
2016-02-27,17.08
2016-02-28,20.74
2016-02-29,33.55
2016-03-01,27.54
2016-03-02,45.39
2016-03-03,21.93
2016-03-04,41.31
2016-03-05,22.44
2016-03-06,0.0
2016-03-07,37.230000000000004
2016-03-08,24.48
2016-03-09,21.42
2016-03-10,38.25
2016-03-11,42.33
2016-03-12,7.65
2016-03-13,7.65
2016-03-14,21.93
2016-03-15,31.62
2016-03-16,21.93
2016-03-17,12.75
2016-03-18,30.09
2016-03-19,15.3
2016-03-20,22.44
2016-03-21,34.68
2016-03-22,25.5
2016-03-23,35.19
2016-03-24,16.32
2016-03-25,13.77
2016-03-26,11.73
2016-03-27,23.97
2016-03-28,26.01
2016-03-29,28.560000000000002
2016-03-30,51.0
2016-03-31,15.81
2016-04-01,10.03
2016-04-02,22.419999999999998
2016-04-03,14.75
2016-04-04,27.729999999999997
2016-04-05,31.27
2016-04-06,37.169999999999995
2016-04-07,31.27
2016-04-08,35.4
2016-04-09,11.209999999999999
2016-04-10,44.839999999999996
2016-04-11,34.22
2016-04-12,40.12
2016-04-13,37.76
2016-04-14,37.76
2016-04-15,19.47
2016-04-16,15.93
2016-04-17,15.34
2016-04-18,37.76
2016-04-19,31.27
2016-04-20,18.88
2016-04-21,36.58
2016-04-22,15.93
2016-04-23,7.67
2016-04-24,15.34
2016-04-25,59.0
2016-04-26,40.12
2016-04-27,43.07
2016-04-28,24.779999999999998
2016-04-29,19.47
2016-04-30,7.67
2016-05-01,31.9
2016-05-02,30.159999999999997
2016-05-03,53.94
2016-05-04,46.98
2016-05-05,30.74
2016-05-06,35.96
2016-05-07,12.76
2016-05-08,16.82
2016-05-09,48.13999999999999
2016-05-10,57.99999999999999
2016-05-11,31.319999999999997
2016-05-12,49.3
2016-05-13,35.96
2016-05-14,17.4
2016-05-15,25.52
2016-05-16,52.779999999999994
2016-05-17,44.66
2016-05-18,41.76
2016-05-19,35.379999999999995
2016-05-20,28.999999999999996
2016-05-21,25.52
2016-05-22,17.4
2016-05-23,31.319999999999997
2016-05-24,27.839999999999996
2016-05-25,24.939999999999998
2016-05-26,14.499999999999998
2016-05-27,15.079999999999998
2016-05-28,17.4
2016-05-29,13.34
2016-05-30,16.82
2016-05-31,35.379999999999995
2016-06-01,6.96
2016-06-02,11.76
2016-06-03,24.0
2016-06-04,8.16
2016-06-05,11.04
2016-06-06,6.96
2016-06-07,9.12
2016-06-08,13.92
2016-06-09,9.6
