Date,Accumulation
2015-04-10,6.12
2015-04-11,3.06
2015-04-12,3.06
2015-04-13,15.13
2015-04-14,4.590000000000001
2015-04-15,14.96
2015-04-16,6.970000000000001
2015-04-17,8.5
2015-04-18,4.590000000000001
2015-04-19,5.95
2015-04-20,5.78
2015-04-21,10.370000000000001
2015-04-22,11.56
2015-04-23,13.940000000000001
2015-04-24,9.690000000000001
2015-04-25,1.53
2015-04-26,4.590000000000001
2015-04-27,9.350000000000001
2015-04-28,16.150000000000002
2015-04-29,5.78
2015-04-30,8.16
2015-05-01,2.6999999999999997
2015-05-02,15.0
2015-05-03,0.0
2015-05-04,8.85
2015-05-05,7.5
2015-05-06,14.1
2015-05-07,9.0
2015-05-08,8.1
2015-05-09,5.1
2015-05-10,5.1
2015-05-11,11.7
2015-05-12,7.6499999999999995
2015-05-13,8.85
2015-05-14,7.949999999999999
2015-05-15,1.3499999999999999
2015-05-16,1.65
2015-05-17,8.7
2015-05-18,7.8
2015-05-19,9.15
2015-05-20,1.3499999999999999
2015-05-21,9.45
2015-05-22,5.7
2015-05-23,1.7999999999999998
2015-05-24,7.35
2015-05-25,11.7
2015-05-26,6.45
2015-05-27,3.9
2015-05-28,3.9
2015-05-29,4.2
2015-05-30,5.1
2015-05-31,6.8999999999999995
2015-06-01,13.0
2015-06-02,2.6
2015-06-03,6.76
2015-06-04,9.36
2015-06-05,11.31
2015-06-06,8.58
2015-06-07,5.33
2015-06-08,4.03
2015-06-09,9.36
2015-06-10,5.46
2015-06-11,4.03
2015-06-12,4.29
2015-06-13,8.84
2015-06-14,1.82
2015-06-15,6.76
2015-06-16,11.96
2015-06-17,3.9000000000000004
2015-06-18,8.19
2015-06-19,4.16
2015-06-20,6.76
2015-06-21,5.2
2015-06-22,5.46
2015-06-23,2.6
2015-06-24,1.3
2015-06-25,2.73
2015-06-26,8.32
2015-06-27,5.07
2015-06-28,5.2
2015-06-29,2.73
2015-06-30,5.33
2015-07-01,7.02
2015-07-02,3.06
2015-07-03,4.77
2015-07-04,4.14
2015-07-05,0.0
2015-07-06,2.9699999999999998
2015-07-07,2.88
2015-07-08,3.8699999999999997
2015-07-09,2.9699999999999998
2015-07-10,4.14
2015-07-11,2.52
2015-07-12,2.52
2015-07-13,0.99
2015-07-14,4.77
2015-07-15,8.82
2015-07-16,9.0
2015-07-17,3.15
2015-07-18,2.61
2015-07-19,1.3499999999999999
2015-07-20,3.15
2015-07-21,6.93
2015-07-22,4.95
2015-07-23,4.05
2015-07-24,4.14
2015-07-25,2.52
2015-07-26,6.39
2015-07-27,4.859999999999999
2015-07-28,2.9699999999999998
2015-07-29,2.9699999999999998
2015-07-30,3.96
2015-07-31,0.99
2015-08-01,0.0
2015-08-02,9.1
2015-08-03,0.0
2015-08-04,5.33
2015-08-05,9.1
2015-08-06,5.46
2015-08-07,5.59
2015-08-08,0.0
2015-08-09,11.57
2015-08-10,8.97
2015-08-11,12.35
2015-08-12,7.28
2015-08-13,7.28
2015-08-14,13.0
2015-08-15,0.0
2015-08-16,4.68
2015-08-17,12.48
2015-08-18,10.530000000000001
2015-08-19,8.71
2015-08-20,12.35
2015-08-21,9.1
2015-08-22,6.76
2015-08-23,11.18
2015-08-24,8.71
2015-08-25,6.890000000000001
2015-08-26,10.27
2015-08-27,1.69
2015-08-28,8.97
2015-08-29,4.42
2015-08-30,10.92
2015-08-31,5.07
2015-09-01,7.6499999999999995
2015-09-02,5.7
2015-09-03,7.6499999999999995
2015-09-04,1.95
2015-09-05,2.55
2015-09-06,3.9
2015-09-07,7.05
2015-09-08,6.6
2015-09-09,4.6499999999999995
2015-09-10,2.85
2015-09-11,2.85
2015-09-12,0.0
2015-09-13,3.5999999999999996
2015-09-14,5.7
2015-09-15,2.6999999999999997
2015-09-16,6.45
2015-09-17,6.6
2015-09-18,2.85
2015-09-19,6.1499999999999995
2015-09-20,2.4
2015-09-21,7.35
2015-09-22,7.5
2015-09-23,15.0
2015-09-24,7.5
2015-09-25,6.75
2015-09-26,1.2
2015-09-27,7.35
2015-09-28,6.3
2015-09-29,5.3999999999999995
2015-09-30,10.049999999999999
2015-10-01,10.08
2015-10-02,11.879999999999999
2015-10-03,5.04
2015-10-04,9.9
2015-10-05,11.52
2015-10-06,12.78
2015-10-07,18.0
2015-10-08,6.4799999999999995
2015-10-09,9.36
2015-10-10,3.42
2015-10-11,5.04
2015-10-12,10.62
2015-10-13,14.04
2015-10-14,7.56
2015-10-15,7.56
2015-10-16,7.92
2015-10-17,13.5
2015-10-18,14.94
2015-10-19,15.12
2015-10-20,4.859999999999999
2015-10-21,15.12
2015-10-22,10.08
2015-10-23,11.7
2015-10-24,8.28
2015-10-25,14.58
2015-10-26,11.16
2015-10-27,12.24
2015-10-28,8.459999999999999
2015-10-29,11.34
2015-10-30,15.66
2015-10-31,6.66
2015-11-01,2.8600000000000003
2015-11-02,7.54
2015-11-03,4.42
2015-11-04,5.46
2015-11-05,9.36
2015-11-06,6.24
2015-11-07,2.08
2015-11-08,2.6
2015-11-09,7.28
2015-11-10,3.64
2015-11-11,2.6
2015-11-12,3.12
2015-11-13,2.6
2015-11-14,4.68
2015-11-15,4.68
2015-11-16,4.68
2015-11-17,11.700000000000001
2015-11-18,8.58
2015-11-19,8.58
2015-11-20,4.16
2015-11-21,26.0
2015-11-22,11.18
2015-11-23,8.32
2015-11-24,3.64
2015-11-25,3.38
2015-11-26,5.46
2015-11-27,3.12
2015-11-28,1.82
2015-11-29,4.42
2015-11-30,7.28
2015-12-01,7.0200000000000005
2015-12-02,6.76
2015-12-03,6.76
2015-12-04,6.5
2015-12-05,2.08
2015-12-06,3.38
2015-12-07,4.68
2015-12-08,6.5
2015-12-09,4.16
2015-12-10,7.28
2015-12-11,5.98
2015-12-12,8.06
2015-12-13,3.9000000000000004
2015-12-14,8.84
2015-12-15,12.74
2015-12-16,4.94
2015-12-17,4.94
2015-12-18,4.68
2015-12-19,4.94
2015-12-20,4.42
2015-12-21,7.0200000000000005
2015-12-22,6.5
2015-12-23,3.12
2015-12-24,4.94
2015-12-25,4.94
2015-12-26,9.620000000000001
2015-12-27,7.0200000000000005
2015-12-28,11.18
2015-12-29,26.0
2015-12-30,7.800000000000001
2015-12-31,4.94
2016-01-01,2.0
2016-01-02,2.0
2016-01-03,1.0
2016-01-04,2.0
2016-01-05,2.0
2016-01-06,4.0
2016-01-07,4.0
2016-01-08,3.0
2016-01-09,4.0
2016-01-10,3.0
2016-01-11,2.0
2016-01-12,6.0
2016-01-13,6.0
2016-01-14,3.0
2016-01-15,2.0
2016-01-16,3.0
2016-01-17,5.0
2016-01-18,6.0
2016-01-19,9.0
2016-01-20,13.0
2016-01-21,12.0
2016-01-22,27.0
2016-01-23,100.0
2016-01-24,77.0
2016-01-25,16.0
2016-01-26,5.0
2016-01-27,5.0
2016-01-28,3.0
2016-01-29,3.0
2016-01-30,2.0
2016-01-31,3.0
2016-02-01,19.240000000000002
2016-02-02,40.04
2016-02-03,32.76
2016-02-04,13.52
2016-02-05,34.32
2016-02-06,14.56
2016-02-07,14.040000000000001
2016-02-08,52.0
2016-02-09,45.24
2016-02-10,26.0
2016-02-11,16.12
2016-02-12,15.08
2016-02-13,9.88
2016-02-14,32.24
2016-02-15,48.88
2016-02-16,15.08
2016-02-17,11.440000000000001
2016-02-18,7.800000000000001
2016-02-19,10.4
2016-02-20,3.64
2016-02-21,4.16
2016-02-22,14.040000000000001
2016-02-23,10.4
2016-02-24,22.36
2016-02-25,30.68
2016-02-26,12.48
2016-02-27,2.08
2016-02-28,6.76
2016-02-29,8.32
2016-03-01,24.64
2016-03-02,10.920000000000002
2016-03-03,18.200000000000003
2016-03-04,18.76
2016-03-05,6.16
2016-03-06,7.280000000000001
2016-03-07,10.360000000000001
2016-03-08,12.040000000000001
2016-03-09,7.840000000000001
2016-03-10,6.16
2016-03-11,4.48
2016-03-12,4.2
2016-03-13,11.48
2016-03-14,6.16
2016-03-15,7.840000000000001
2016-03-16,7.840000000000001
2016-03-17,13.440000000000001
2016-03-18,12.040000000000001
2016-03-19,7.5600000000000005
2016-03-20,15.96
2016-03-21,19.32
2016-03-22,8.120000000000001
2016-03-23,16.8
2016-03-24,28.000000000000004
2016-03-25,8.680000000000001
2016-03-26,6.44
2016-03-27,2.24
2016-03-28,14.280000000000001
2016-03-29,7.840000000000001
2016-03-30,12.32
2016-03-31,14.280000000000001
2016-04-01,7.13
2016-04-02,8.280000000000001
2016-04-03,16.560000000000002
2016-04-04,15.870000000000001
2016-04-05,11.270000000000001
2016-04-06,18.400000000000002
2016-04-07,20.93
2016-04-08,8.280000000000001
2016-04-09,13.8
2016-04-10,11.040000000000001
2016-04-11,6.9
2016-04-12,16.1
2016-04-13,11.5
2016-04-14,14.030000000000001
2016-04-15,15.870000000000001
2016-04-16,10.120000000000001
2016-04-17,23.0
2016-04-18,10.35
2016-04-19,14.950000000000001
2016-04-20,13.8
2016-04-21,10.120000000000001
2016-04-22,12.88
2016-04-23,5.75
2016-04-24,6.9
2016-04-25,8.05
2016-04-26,10.120000000000001
2016-04-27,8.05
2016-04-28,14.950000000000001
2016-04-29,9.43
2016-04-30,9.66
2016-05-01,3.12
2016-05-02,12.09
2016-05-03,4.29
2016-05-04,13.0
2016-05-05,7.0200000000000005
2016-05-06,6.5
2016-05-07,5.46
2016-05-08,1.04
2016-05-09,7.15
2016-05-10,7.800000000000001
2016-05-11,8.97
2016-05-12,4.55
2016-05-13,5.46
2016-05-14,6.63
2016-05-15,3.25
2016-05-16,8.97
2016-05-17,7.0200000000000005
2016-05-18,10.66
2016-05-19,5.46
2016-05-20,1.82
2016-05-21,3.25
2016-05-22,4.42
2016-05-23,8.06
2016-05-24,9.88
2016-05-25,5.46
2016-05-26,6.5
2016-05-27,6.76
2016-05-28,4.55
2016-05-29,4.55
2016-05-30,5.33
2016-05-31,8.19
2016-06-01,6.300000000000001
2016-06-02,7.2
2016-06-03,4.6000000000000005
2016-06-04,3.2
2016-06-05,4.2
2016-06-06,8.700000000000001
2016-06-07,4.5
2016-06-08,3.6
2016-06-09,4.6000000000000005
2016-06-10,2.8000000000000003
2016-06-11,3.2
2016-06-12,3.2
