Date,Interactive Media
2015-03-26,16.32
2015-03-27,14.280000000000001
2015-03-28,0.0
2015-03-29,18.360000000000003
2015-03-30,27.880000000000003
2015-03-31,27.880000000000003
2015-04-01,17.42
2015-04-02,8.71
2015-04-03,0.0
2015-04-04,0.0
2015-04-05,11.39
2015-04-06,8.71
2015-04-07,25.46
2015-04-08,8.71
2015-04-09,17.42
2015-04-10,26.8
2015-04-11,11.39
2015-04-12,11.39
2015-04-13,25.46
2015-04-14,16.75
2015-04-15,8.71
2015-04-16,0.0
2015-04-17,18.09
2015-04-18,11.39
2015-04-19,0.0
2015-04-20,16.75
2015-04-21,17.42
2015-04-22,67.0
2015-04-23,42.88
2015-04-24,26.8
2015-04-25,0.0
2015-04-26,0.0
2015-04-27,8.71
2015-04-28,25.46
2015-04-29,34.17
2015-04-30,17.42
2015-05-01,59.0
2015-05-02,0.0
2015-05-03,0.0
2015-05-04,28.91
2015-05-05,56.05
2015-05-06,28.91
2015-05-07,14.75
2015-05-08,0.0
2015-05-09,0.0
2015-05-10,0.0
2015-05-11,43.66
2015-05-12,57.23
2015-05-13,43.66
2015-05-14,0.0
2015-05-15,30.68
2015-05-16,0.0
2015-05-17,0.0
2015-05-18,28.91
2015-05-19,0.0
2015-05-20,29.5
2015-05-21,30.09
2015-05-22,0.0
2015-05-23,0.0
2015-05-24,0.0
2015-05-25,37.169999999999995
2015-05-26,14.75
2015-05-27,14.75
2015-05-28,0.0
2015-05-29,15.34
2015-05-30,0.0
2015-05-31,18.88
2015-06-01,0.0
2015-06-02,45.43
2015-06-03,23.009999999999998
2015-06-04,59.0
2015-06-05,0.0
2015-06-06,0.0
2015-06-07,0.0
2015-06-08,23.009999999999998
2015-06-09,11.799999999999999
2015-06-10,0.0
2015-06-11,35.989999999999995
2015-06-12,50.15
2015-06-13,0.0
2015-06-14,15.34
2015-06-15,23.599999999999998
2015-06-16,11.799999999999999
2015-06-17,11.799999999999999
2015-06-18,0.0
2015-06-19,12.389999999999999
2015-06-20,0.0
2015-06-21,0.0
2015-06-22,0.0
2015-06-23,0.0
2015-06-24,0.0
2015-06-25,0.0
2015-06-26,12.389999999999999
2015-06-27,14.75
2015-06-28,0.0
2015-06-29,11.799999999999999
2015-06-30,0.0
2015-07-01,0.0
2015-07-02,13.600000000000001
2015-07-03,0.0
2015-07-04,18.0
2015-07-05,0.0
2015-07-06,26.400000000000002
2015-07-07,0.0
2015-07-08,12.8
2015-07-09,26.8
2015-07-10,0.0
2015-07-11,16.8
2015-07-12,17.2
2015-07-13,13.200000000000001
2015-07-14,0.0
2015-07-15,12.8
2015-07-16,26.400000000000002
2015-07-17,0.0
2015-07-18,0.0
2015-07-19,0.0
2015-07-20,13.600000000000001
2015-07-21,26.0
2015-07-22,0.0
2015-07-23,40.0
2015-07-24,13.600000000000001
2015-07-25,0.0
2015-07-26,16.8
2015-07-27,0.0
2015-07-28,12.8
2015-07-29,0.0
2015-07-30,26.400000000000002
2015-07-31,28.0
2015-08-01,0.0
2015-08-02,19.139999999999997
2015-08-03,15.079999999999998
2015-08-04,44.08
2015-08-05,45.239999999999995
2015-08-06,0.0
2015-08-07,46.98
2015-08-08,0.0
2015-08-09,19.139999999999997
2015-08-10,15.079999999999998
2015-08-11,0.0
2015-08-12,15.079999999999998
2015-08-13,15.079999999999998
2015-08-14,15.659999999999998
2015-08-15,56.26
2015-08-16,0.0
2015-08-17,0.0
2015-08-18,14.499999999999998
2015-08-19,29.58
2015-08-20,14.499999999999998
2015-08-21,15.079999999999998
2015-08-22,18.56
2015-08-23,0.0
2015-08-24,14.499999999999998
2015-08-25,14.499999999999998
2015-08-26,28.419999999999998
2015-08-27,57.99999999999999
2015-08-28,29.58
2015-08-29,35.96
2015-08-30,0.0
2015-08-31,41.76
2015-09-01,33.660000000000004
2015-09-02,44.88
2015-09-03,22.44
2015-09-04,0.0
2015-09-05,0.0
2015-09-06,0.0
2015-09-07,0.0
2015-09-08,32.34
2015-09-09,33.0
2015-09-10,11.22
2015-09-11,22.44
2015-09-12,13.860000000000001
2015-09-13,13.860000000000001
2015-09-14,66.0
2015-09-15,21.78
2015-09-16,10.56
2015-09-17,21.78
2015-09-18,23.1
2015-09-19,29.040000000000003
2015-09-20,13.860000000000001
2015-09-21,32.34
2015-09-22,0.0
2015-09-23,43.56
2015-09-24,10.56
2015-09-25,33.660000000000004
