Date,Analyst Ratings
2016-02-01,15.51
2016-02-02,15.51
2016-02-03,0.0
2016-02-04,0.0
2016-02-05,0.0
2016-02-06,0.0
2016-02-07,37.129999999999995
2016-02-08,0.0
2016-02-09,47.0
2016-02-10,31.02
2016-02-11,15.979999999999999
2016-02-12,16.45
2016-02-13,0.0
2016-02-14,37.129999999999995
2016-02-15,0.0
2016-02-16,0.0
2016-02-17,31.49
2016-02-18,15.51
2016-02-19,0.0
2016-02-20,0.0
2016-02-21,0.0
2016-02-22,0.0
2016-02-23,30.549999999999997
2016-02-24,15.51
2016-02-25,15.979999999999999
2016-02-26,15.979999999999999
2016-02-27,0.0
2016-02-28,0.0
2016-02-29,15.04
2016-03-01,0.0
2016-03-02,0.0
2016-03-03,23.04
2016-03-04,23.52
2016-03-05,0.0
2016-03-06,0.0
2016-03-07,0.0
2016-03-08,23.04
2016-03-09,22.56
2016-03-10,23.04
2016-03-11,0.0
2016-03-12,27.36
2016-03-13,0.0
2016-03-14,46.08
2016-03-15,23.04
2016-03-16,0.0
2016-03-17,0.0
2016-03-18,36.48
2016-03-19,0.0
2016-03-20,27.36
2016-03-21,0.0
2016-03-22,23.52
2016-03-23,23.52
2016-03-24,24.0
2016-03-25,0.0
2016-03-26,0.0
2016-03-27,0.0
2016-03-28,48.0
2016-03-29,23.52
2016-03-30,0.0
2016-03-31,23.52
2016-04-01,26.24
2016-04-02,20.09
2016-04-03,0.0
2016-04-04,16.4
2016-04-05,16.4
2016-04-06,16.4
2016-04-07,0.0
2016-04-08,34.44
2016-04-09,0.0
2016-04-10,0.0
2016-04-11,16.4
2016-04-12,33.21
2016-04-13,16.81
2016-04-14,0.0
2016-04-15,17.63
2016-04-16,0.0
2016-04-17,0.0
2016-04-18,16.81
2016-04-19,0.0
2016-04-20,16.81
2016-04-21,32.8
2016-04-22,16.81
2016-04-23,41.0
2016-04-24,0.0
2016-04-25,16.4
2016-04-26,15.989999999999998
2016-04-27,16.4
2016-04-28,24.599999999999998
2016-04-29,17.22
2016-04-30,0.0
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,40.74
2016-05-04,19.74
2016-05-05,20.58
2016-05-06,21.84
2016-05-07,25.619999999999997
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,20.58
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,21.84
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,21.419999999999998
2016-05-17,0.0
2016-05-18,21.0
2016-05-19,21.419999999999998
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,42.0
2016-05-24,21.0
2016-05-25,0.0
2016-05-26,21.84
2016-05-27,22.68
2016-05-28,26.04
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,17.099999999999998
2016-06-06,14.1
2016-06-07,14.7
2016-06-08,0.0
2016-06-09,30.0
2016-06-10,15.6
2016-06-11,0.0
2016-06-12,17.4
2016-06-13,15.0
2016-06-14,14.7
2016-06-15,14.7
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,15.0
2016-06-22,0.0
2016-06-23,15.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,14.7
2016-06-28,0.0
2016-06-29,15.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,13.940000000000001
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,11.56
2016-07-07,0.0
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,17.34
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,11.9
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,0.0
2016-07-20,11.56
2016-07-21,0.0
2016-07-22,11.9
2016-07-23,0.0
2016-07-24,0.0
2016-07-25,11.22
2016-07-26,34.0
2016-07-27,11.56
2016-07-28,11.22
2016-07-29,11.56
2016-07-30,0.0
2016-07-31,13.260000000000002
2016-08-01,13.160000000000002
2016-08-02,0.0
2016-08-03,0.0
2016-08-04,0.0
2016-08-05,14.280000000000001
2016-08-06,0.0
2016-08-07,0.0
2016-08-08,0.0
2016-08-09,0.0
