Date,Cable
2016-05-26,68.73
2016-05-27,71.89
2016-05-28,75.84
2016-05-29,69.52000000000001
2016-05-30,71.89
2016-05-31,79.0
2016-06-01,75.2
2016-06-02,76.0
2016-06-03,75.2
2016-06-04,71.2
2016-06-05,69.60000000000001
2016-06-06,80.0
2016-06-07,78.4
2016-06-08,67.2
2016-06-09,70.4
2016-06-10,68.8
2016-06-11,68.0
2016-06-12,64.8
2016-06-13,76.0
2016-06-14,74.4
2016-06-15,73.60000000000001
2016-06-16,72.8
2016-06-17,75.2
2016-06-18,70.4
2016-06-19,67.2
2016-06-20,72.0
2016-06-21,76.0
2016-06-22,76.0
2016-06-23,69.60000000000001
