,Open,High,Low,Close,Volume,VOX_unscaled,VOX_monthly,isPartial,scale,VOX,VOX stock_unscaled,VOX stock_monthly,isPartial,scale,VOX stock,VOX price_unscaled,VOX price_monthly,isPartial,scale,VOX price,VOX vanguard_unscaled,VOX vanguard_monthly,isPartial,scale,VOX vanguard,Dow Jones_unscaled,Dow Jones_monthly,isPartial,scale,Dow Jones,Trump_unscaled,Trump_monthly,isPartial,scale,Trump
9/24/14,87.62999725,87.98000336,87.43000031,87.91000366,30200,91,41,,0.41,37.31,0,9,,0.09,0,0,38,,0.38,0,0,27,,0.27,0,79,11,,0.11,8.69,62,1,,0.01,0.62
9/25/14,87.79000092,87.90000153,86.43000031,86.56999969,46600,88,41,,0.41,36.08,100,9,,0.09,9,69,38,,0.38,26.22,0,27,,0.27,0,100,11,,0.11,11,57,1,,0.01,0.57
9/26/14,86.63999939,87.33000183,86.19999695,87.08999634,27700,88,41,,0.41,36.08,0,9,,0.09,0,70,38,,0.38,26.6,0,27,,0.27,0,97,11,,0.11,10.67,68,1,,0.01,0.68
9/29/14,86.65000153,87.16000366,86.44000244,87.05000305,34000,87,41,,0.41,35.67,0,9,,0.09,0,0,38,,0.38,0,0,27,,0.27,0,79,11,,0.11,8.69,67,1,,0.01,0.67
9/30/14,87.08000183,87.58000183,87,87.30000305,37200,94,41,,0.41,38.54,0,9,,0.09,0,66,38,,0.38,25.08,0,27,,0.27,0,85,11,,0.11,9.35,65,1,,0.01,0.65
10/1/14,87.23000336,87.23000336,85.76999664,85.87999725,59600,66,45,FALSE,0.45,29.7,0,31,FALSE,0.31,0,67,60,FALSE,0.6,40.2,0,38,FALSE,0.38,0,38,20,FALSE,0.2,7.6,79,1,FALSE,0.01,0.79
10/2/14,85.94999695,86.48999786,85.25,86.26999664,53200,65,45,,0.45,29.25,0,31,,0.31,0,0,60,,0.6,0,0,38,,0.38,0,44,20,,0.2,8.8,88,1,,0.01,0.88
10/3/14,86.75,86.95999908,86.58999634,86.91999817,65500,56,45,,0.45,25.2,100,31,,0.31,31,73,60,,0.6,43.8,100,38,,0.38,38,43,20,,0.2,8.6,71,1,,0.01,0.71
10/6/14,87.05000305,87.27999878,86.61000061,86.62999725,32300,56,45,,0.45,25.2,0,31,,0.31,0,0,60,,0.6,0,0,38,,0.38,0,32,20,,0.2,6.4,83,1,,0.01,0.83
10/7/14,86.41000366,86.43000031,85.90000153,85.93000031,37800,51,45,,0.45,22.95,0,31,,0.31,0,67,60,,0.6,40.2,0,38,,0.38,0,39,20,,0.2,7.8,81,1,,0.01,0.81
